,index,RF
5,V12,0.22541002922559372
4,V11,0.10412952515339466
10,V17,0.09258993769782911
3,V10,0.0789902103200488
7,V14,0.07827735175046877
29,V9,0.05207754054049831
11,V18,0.04259936685154541
9,V16,0.040084615865694735
27,V7,0.02947924009809991
24,V4,0.02056224773716111
20,V26,0.018271359456527764
2,V1,0.01684444181576305
21,V27,0.016614092175178462
26,V6,0.016074750966804528
28,V8,0.01511417899805443
0,Amount,0.01267529092961253
14,V20,0.012038718055507651
23,V3,0.01196843219827596
6,V13,0.01190453838871316
1,Time,0.011621399409746337
12,V19,0.011453375257136333
16,V22,0.010858302206518086
25,V5,0.01023473196291735
13,V2,0.00969295964485615
17,V23,0.009436574217524992
15,V21,0.009373641585444284
8,V15,0.00881948422303221
22,V28,0.008181984277918523
18,V24,0.007325234774110199
19,V25,0.007296444216023653
