Time,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Amount
169142,-1.927883321,1.125652664,-4.518330641,1.749292533,-1.566487292,-2.010494231,-0.882849831,0.697211109,-2.064945287,-5.587793782,2.115795177,-5.417424082,-1.235122631,-6.665176895,0.401700687,-2.897825117,-4.570529434,-1.315147214,0.391167041,1.252966735,0.778583979,-0.319188819,0.639418961,-0.29488504,0.537502536,0.788395057,0.292679966,0.147967929,390
169145,-0.176324519,-1.032207312,0.513104238,-3.000306229,0.264455623,2.394714133,-0.403606417,0.438458572,-1.797849451,1.111252897,0.968341088,-0.659865442,-0.261865206,-0.480568084,0.029901123,-1.442873392,1.017539939,-1.044957878,-1.384467126,-0.465021335,0.066042716,0.896248533,0.123398459,-1.097603089,-1.229027556,-0.231603847,0.054278618,-0.051956399,92
169145,2.310117804,-1.460358455,-1.136433072,-1.718255072,-0.930651358,-0.067188078,-1.241011961,-0.076369561,-1.033716776,1.546182588,-1.644739829,-1.113925157,0.401011781,-0.510682946,0.036821926,-0.319054761,0.25854643,0.149508408,0.015351088,-0.379400937,-0.198936909,-0.105708896,0.200744065,-0.000584405,-0.165789201,-0.16605283,0.014955749,-0.045201756,28.4
169147,2.13475524,-1.702684988,0.185638259,-1.506084093,-2.091017245,-0.246734027,-1.844004778,0.09085261,-0.938968281,1.646606094,0.79969223,0.198281979,0.900903023,-0.741712304,-0.433511964,0.155728558,0.004472962,0.775905209,-0.174170781,-0.336897387,-0.030153132,0.375611281,0.316767929,0.058170558,-0.599300448,-0.264073173,0.059644443,-0.032948444,40
169147,-0.813009001,1.62691233,-4.191494165,-1.334915043,2.683255668,2.552911182,-0.251524905,1.873301314,-0.736446249,-1.103298843,-0.342677487,0.196589937,-0.37455693,0.221961795,-0.398234697,0.103482825,1.142035808,-0.116650306,-0.548890532,-0.389303156,0.236887271,0.373020172,0.104515557,0.655617735,-0.187882805,0.567476976,-0.384999743,-0.16038773,5.49
169147,-0.798281318,1.662688104,-0.938991991,-0.95579737,1.033534002,-0.389241466,0.839787552,0.073542652,0.404574752,0.557201028,0.872240985,0.769988069,0.504536641,-1.227177788,-0.908515152,0.52290792,-0.078572513,0.266375149,0.070796015,0.586453097,-0.428379757,-0.833664795,0.087578031,0.174718677,-0.175966531,0.132950845,0.62711153,0.351085366,1.99
169148,0.113995364,1.029739845,-0.216606159,-0.43108331,0.662075257,-1.109099791,0.965716118,-0.12467532,-0.036834679,-0.826554847,-0.327892521,-0.114780596,-0.352928012,-0.934155967,-0.242217337,0.21085449,0.548938593,-0.331466417,-0.399796715,-0.01415214,-0.314794113,-0.773145994,0.155235918,1.03541399,-0.491692469,0.084678595,0.221180115,0.088419043,2.99
169150,1.220761091,-1.142023937,-2.515361,1.583942823,0.385747682,-0.713010497,1.283625539,-0.472870484,0.049834412,0.117850868,-1.078965481,-0.120873318,-0.761946724,0.884013553,-0.20520334,-0.641761096,-0.158730521,-0.381684128,-0.397067957,0.578919519,0.398440831,0.300885022,-0.427043418,0.6988506,0.441194594,-0.458415585,-0.1191017,0.013454458,444
169150,2.05329224,0.158794318,-1.691604165,0.429297958,0.428885182,-0.885675777,0.229885737,-0.266480273,0.423519518,-0.395986012,-0.463028437,0.3932742,0.503203583,-0.928253599,0.155540249,0.287495416,0.460326987,-0.370546347,0.034348907,-0.107816724,-0.351193631,-0.907794884,0.329503547,0.58072874,-0.251229766,0.167060307,-0.06169234,-0.027389818,11.99
169151,0.120460708,0.865463281,-0.707177833,-0.547808688,0.796864226,-1.054100016,1.672417845,-0.455129678,-0.481530015,-0.431947525,-0.662112746,0.025289669,-0.241590334,0.422746338,-0.705517807,-0.736653399,-0.065336291,-0.829179516,-0.298794361,-0.20317189,0.204536115,0.649193155,-0.158453189,1.164566066,0.110350316,0.574547273,-0.186643626,-0.037625392,60
169152,-3.635812768,3.711787132,-3.149754451,-1.739088509,-0.297295037,-1.615712579,0.351593639,1.151963143,1.331123437,2.661543162,-0.006501388,0.114739922,-1.785984776,1.303390468,-0.605369378,-0.193937842,-0.325241742,0.36519291,-0.032392233,0.964474038,-0.005327699,0.601108392,0.000283999,-0.447803306,0.271078957,0.101288018,0.695478506,0.240983027,0.77
169153,-0.526178839,-0.186777252,0.986128001,-3.253687583,0.065659644,-0.566164498,0.308090975,-0.17262313,-3.036303526,0.655041811,0.479419388,-0.328357666,1.174653256,-0.262137823,-1.139096421,-0.246238425,-0.195621778,0.564597182,-0.517885907,-0.258827106,0.11796453,0.664334942,-0.611639387,-0.42781178,1.013547349,0.117118285,-0.004198824,0.022652847,15
